3EP Ltd.
55 Mercer St. Gallery
8BC
A. Contini & Son
Calapai, Letterio
Calas, Nicolas
Calcagno, Lawrence
Calder, Alexander
Caldwell, John
Calfee, William H. (William Howard)
California Art Club
California Art Gallery (periodical)
California Art Research Project
California Palace of the Legion of Honor
California State University, Long Beach. University Art Museum
Calkins, Kingsley Mark
Call, Mary Eugenie Bradish
Callahan, Harry M.
Callahan, Kenneth L.
Callender, Bessie Stough
Callicott, Burton
Camblin, Bob Bilyeu
Cameron, Edgar Spier
Cameron, James
Camins, Jacques Joseph
Camire, Richard
Camp, Donald Eugene
Camp, Jane
Camp, Jeff
Campbell, Catherine H.
Campbell, Courtney
Campbell, David Robert
Campbell, Louisa Dresser
Campbell, Orland
Campbell, Robert B.
Campbell, William Pardee
Campus, Peter
Canaday, John Edwin
Cancel, Luis R.
Candell, Victor
Candido, Anthony
Candy Store Gallery
Canning, Tony
Cano, Margarita
Cantey, Sam
Cantine, Irene Helen McCabe
Caparn, Rhys
Cape Ann Festival of the Arts
Cape Ann Society of Modern Artists
Caponigro, Paul
Capp, Al
Carandente, Giovanni
Card, Helen L. (Helen Luise)
Carewe, Sylvia
Carey, Joyce Marquess
Carey, Paul
Cariss, Henry T.
Carl Battaglia Galleries (New York, N.Y.)
Carl Schurz Memorial Foundation
Carlen Galleries
Carlen, Robert
Carles, Arthur B.
Carlin Galleries
Carlis, John H.
Carlsen, Dines
Carlsen, Emil
Carlson, William Douglas
Carlton, Brents
Carlton, Margaret Gillies
Carnegie Institute. Museum of Art
Carnegie, Andrew
Carone, Nicholas
Carpenter, Arthur Espenet
Carpenter, Betty
Carpenter, James Fraser
Carr, Carolyn Kinder
Carr, Helen
Carraro, Francine
Carrasco, Barbara
Carrig-Rohane Shop (Boston, Mass.)
Carroll, John
Carson, Edith
Carson, Karen
Carter, Clarence Holbrook
Carter, Jared
Carter, William
Cartier-Bresson, Henri
Carton, Norman
Cartwright, Roy
Carulla, Ramón
Carus Gallery (New York, N.Y.)
Cary, William de la Montagne
Casas, Mel
Cascieri, Arcangelo
Case, Jack
Casebier, Cecil Lang
Casenelli, Victor
Casilear, John William
Casper, Tim F.
Cassatt, Alexander J. (Alexander Johnston)
Cassatt, Mary
Cassidy, Ina Sizer
Cassis, Joan
Castaldo, Amaylia Chlarina
Castanis, Muriel
Castano Galleries (Boston, Mass.)
Castano, Giovanni
Castano, Josephine Marie Caruso
Castellanos, Leonard
Castelli, Leo
Castellón, Federico
Castle, Wendell
Castro, Eugenio
Catherine Lorillard Wolfe Art Club (New York, N.Y.)
Catherine Viviano Gallery.
Catholic Art Forum of San Francisco
Catlett, Elizabeth
Catlin, family
Catlin, George
Catlin, Stanton Loomis
Cavallon, Giorgio
Cavanagh, Dorothy
Cecchetti, Giovanna.
Cecere, Ada Rasario
Cecere, Gaetano
Cecula, Marek
Cederquist, John
Ceely, Robert
Celmins, Vija
Centennial Exhibition (1876 : Philadelphia, Pa.)
Center for Creative Studies
Center for International Contemporary Arts
Century Association (New York, N.Y.)
Century illustrated monthly magazine
Cernuda, Ramón
Cesnola, Luigi Palma di
Chaet, Bernard
Chagoya, Enrique
Chalfant, Jefferson David
Challis Galleries (Laguna Beach, Calif.)
Chaloner Prize Foundation
Chamberlain, John
Chamberlain, Kenneth Russell
Chamberlain, Samuel
Chambers, Elenora S. (Elenora Strasel)
Champney, Edwin Graves
Champney, Elizabeth W. (Elizabeth Williams)
Champney, James Wells
Champollion, Andre
Chanase, Dane
Chandler, Dana
Chandler, Jane England
Chandor, Douglas
Chanenson, Gloria Kolodny
Chanin, Arnold
Chanler, Robert Winthrop
Chapellier Galleries (New York, N.Y.)
Chapin, Francis
Chapin, Myron B.
Chapman, Kenneth M.
Chapman, Suzanne E.
Chappell, Miles L.
Charcoal Club (Baltimore, Md.)
Chardiet, Jose
Charles Campbell Gallery  (San Francisco, Calif.)
Charles Scribner's Sons
Charlot, Jean
Charlton Art Gallery
Charlton, Maryette
Chase, Doris Totten
Chase, Frank Swift
Chase, J. Eastman
Chase, William Merritt
Chatterton, Clarence K. (Clarence Kerr)
Chavez, Edward Arcenio
Cheek, Leslie
Cheesman, David R.
Chelimsky, Oscar
Chen, Chi
Cheney, Seth Wells
Cheney, Sheldon
Chermayeff, Serge
Cherney, Marvin
Chernow, Burt
Cherry, Herman
Chessé, Ralph
Chester County Art Association (Chester County, Pa.)
Chiarenza, Carl
Chicago Society of Artists
Chicago Society of Etchers
Chicago, Judy
Chidsey, G. Alan
Childs, Bernard
Childs, Charles
Childs, Edwin Burrage
Chillman, James
Chimes, Thomas
Chin, Mel
Chinn, Andrew
Chipp, Herschel Browning
Chittenden, Alice Brown
Chizmarik, Stephen
Chodorow, Eugene
Chong, Fay
Choo, Chunghi
Chow, Fong
Christenberry, William
Christensen, Hans
Christie, Arthur N.
Christ-Janer, Albert
Christo
Christopher, William R.
Christy, Howard Chandler
Chrysler, Walter P. (Walter Percy)
Chryssa
Church, Frederic Edwin
Church, Frederick S. (Frederick Stuart)
Church, Michael P.
Church, William Conant
Churchill, Alfred Vance
Churchman, Edwin
Ciampaglia, Carlo Alberto
Ciardi, John
Cicero, Carmen
Cifolelli, Alberta
Cikovsky, Nicolai
Cincinnati Art Museum
Cinque Gallery
Cipriani, Inez G.
Cirino, Antonio
Citizens' Committee for Government Arts Projects
Citizens Committee for the Army, Navy, and Air Force
Citron, Minna Wright
Claflin, Agnes Rindge
Claghorn, James Lawrence
Clague, John
Clancy, John
Clancy, Judith
Clapp, Thaddeus
Clark, Adèle
Clark, Allan
Clark, Alson Skinner
Clark, Charles D.
Clark, Eleanor Arnold
Clark, Eliot Candee
Clark, Frederick H. (Frederick Hatfield)
Clark, Garth
Clark, Mary Helene Andersen
Clark, Medora
Clark, Nancy
Clark, Walter
Clarke, Helen Bess
Clarke, James Mitchell
Clarke, John Clem
Clarke, Thomas B. (Thomas Benedict)
Clarke, Thomas Shields
Clayberger, Samuel R. (Samuel Robert)
Clayton-Liberatore Gallery
Clef, Roman A.
Clement, Alain
Clements, Gabrielle de Veaux
Clements, Geoffrey
Clemmons, Walter
Cleo
Clerk, Pierre
Cleveland Institute of Art
Cleveland Print Club
Clivette, Merton
Close, Chuck
Cloyd, Royal Harrison
Clutz, William
Coale, Griffith Baily
Coalition of Women's Art Organizations
Cobb, Ruth
Coburn, Ralph
Cocke, Mildred Hackett
Cockrill, Sherna
Coen, Eleanor Jean
Coffey, Katherine
Coffin, William A. (William Anderson)
Cogan, Sheila
Coggeshall, Calvert
Coggeshall, John I. (John Ingersoll)
Coggins, Robert P.
Cohen, Elaine Lustig
Cohen, George
Cohen, Hy
Cohen, Michael
Cohen, Saul Z.
Cohn, Max Arthur
Colby, Joy Hakanson
Cole, Alphaeus Philemon
Cole, Dorothy Bushnell
Cole, family
Cole, Sylvan
Cole, Thomas
Cole, Thomas Casilear
Cole, Timothy
Coleman, Glenn O.
Colen, Arthur W.
Colescott, Robert
Colescott, Warrington
Colin, Ralph F.
Colin, Richard
Colker, Ed
Collective Graphics Workshop (New York, N.Y.)
College Art Association of America
Collier, John
Collier, Nina Perera
Collier, Oscar
Collins, Dorothy
Collins, Lowell Daunt
Colman, Samuel
Colorado Springs Fine Arts Center
Colp, Norman
Colt, Thomas Clyde
Columbia Historical Society (Washington, D.C.)
Columbian Society of Artists
Columbianum
Colwell, Miriam
Comfort, George Fisk
Comfort, William Wistar
Commanday, Elisabeth
Committee for Fair Representation in Art Exhibitions (Boston, Mass.)
Committee for the Simon Rodia Towers in Watts
Conant, Howard Somers
